SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
AMST:1074:0EXV,Inequality in American Sport,Ashley Loup,,0,12,1,0,0,1,1,0,2,0,0,0,0,0,Winter,2022-2023,0
AMST:1074:0EXW,Inequality in American Sport,Jennifer Sterling,,0,15,1,2,1,0,0,0,0,0,0,0,1,0,Winter,2022-2023,0
BAIS:6210:0EXP,Data Leadership and Management,Kristy Walker,,0,45,1,1,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
CSED:2081:0EXW,Making a Vocational-Educational Choice,Molly Rechkemmer,,0,22,2,0,2,2,0,1,1,0,0,0,3,0,Winter,2022-2023,0
CSED:4140:0EXV,Foundations of Leadership,Robert Metzger Iii,,0,16,11,2,1,2,0,0,2,0,1,0,1,0,Winter,2022-2023,0
CSED:4140:0EXW,Foundations of Leadership,Robert Metzger Iii,,2,11,7,5,2,0,1,0,2,0,0,0,0,0,Winter,2022-2023,0
CSED:5400:0001,Suicide & Crisis Intervention Counseling,Laura Gallo,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
EDTL:4900:0EXW,Foundations of Special Education,Pam Ries,,3,9,7,1,0,0,0,1,0,0,0,0,0,0,Winter,2022-2023,0
ENGL:1200:0EXV,The Interpretation of Literature,Ruben Cota,,0,0,6,2,3,1,0,0,0,0,0,0,0,0,Winter,2022-2023,0
ENGL:1200:0EXW,The Interpretation of Literature,Jacqui Alpine,,0,8,3,2,1,3,0,1,0,0,0,1,2,0,Winter,2022-2023,0
ENTR:9200:0EXO,Entrepreneurial Finance,Scott Hauser,,0,17,0,0,10,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
ENTR:9450:0EXO,Strategic Mgmt of Tech & Innovation,Lynn Allendorf,,1,17,1,2,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
FREN:1006:0EXW,Global Sports and National Cultures,Beatrice Mkenda,,6,12,5,4,1,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
GHS:3850:0EXW,Promoting Health Globally,Christine Brunner Luse,,0,8,0,0,1,0,0,0,0,0,0,0,1,0,Winter,2022-2023,0
HHP:1100:0EXW,Human Anatomy,Kelli Taeger,,1,3,3,1,4,2,4,1,1,0,2,1,3,0,Winter,2022-2023,0
HHP:2200:0EXW,Physical Activity and Health,Amy Fletcher,,0,5,0,2,3,3,1,5,1,4,0,1,0,0,Winter,2022-2023,0
HHP:3850:0EXW,Promoting Health Globally,Christine Brunner Luse,,3,12,0,0,2,0,0,1,0,0,0,0,1,0,Winter,2022-2023,0
IS:2020:0EXW,World Events Today!,Peter Gerlach,,6,16,0,2,1,1,1,0,0,0,0,0,1,0,Winter,2022-2023,0
ITAL:2770:0EXW,The Mafia and the Movies,Irene Lottini,,6,11,5,5,1,0,2,0,0,0,0,0,0,0,Winter,2022-2023,0
MATH:2550:0EXW,Engineering Math III: Matrix Algebra,Olga Sokratova,,1,14,1,2,13,5,9,14,8,0,0,1,0,0,Winter,2022-2023,0
MATH:2560:0EXW,Engineer Math IV: Differential Equations,Sergii Bezuglyi,,0,2,2,1,2,2,1,0,0,0,0,0,0,0,Winter,2022-2023,0
MBA:8120:0EX8,Management in Organizations,Daniel Newton,,4,15,0,0,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MBA:8500:0EXG,Seminar in International Business,Dimy Doresca,,15,1,0,0,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9110:0EXO,Dynamics of Negotiations,Daniel Feltes,,2,19,14,3,0,1,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9130:0EXO,Strategic Management of Change,Sue Dustin,,2,20,4,4,0,0,1,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9185:0EXO,Project Management,Nicole McElligott,,18,25,3,0,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9210:0EXO,Law and Ethics,Lon Moeller,,0,14,2,0,0,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9230:0EXO,Managing and Preventing Conflict,Jay Christensen-Szalanski,,1,13,13,5,7,0,0,0,0,0,0,0,0,0,Winter,2022-2023,0
MGMT:9250:0EXO,Managing Employee Performance,Tracy Tunwall,,5,18,1,2,6,1,0,1,0,0,0,0,0,0,Winter,2022-2023,0
MUS:1066:0EXW,Introduction to Film Music,Jonathan Allen,,2,10,6,7,7,6,1,0,0,0,0,0,0,0,Winter,2022-2023,0
PHYS:1200:0EX1,Physics of Everyday Experience,Shea Brown,,0,31,9,5,1,1,1,3,0,0,0,0,1,0,Winter,2022-2023,0
POLI:1950:0EXW,Introduction to the Politics of Religion,Nicholas Martini,,0,12,4,5,6,0,6,1,2,0,0,0,0,0,Winter,2022-2023,0
PSY:2401:0EXW,Introduction to Developmental Science,Julie Gros-Louis,,1,15,4,11,8,0,3,0,0,0,0,1,0,0,Winter,2022-2023,0
SOC:2710:0EXR,The American Family,Jennifer Haylett,,0,17,13,11,6,3,2,0,0,0,0,0,0,0,Winter,2022-2023,0
SPAN:2050:0EXW,Spanish in the U.S.,Suzanne Wedeking,,0,12,4,2,1,1,1,0,0,0,0,0,1,0,Winter,2022-2023,0
SRM:4197:0004,Sport and Recreation Field Experience,Anna Jensen,,0,1,5,4,10,3,1,1,1,1,0,1,0,0,Winter,2022-2023,0
TR:4197:0003,Practicum in Therapeutic Recreation,Kristina Gordon,,0,3,2,1,0,0,1,0,0,0,0,0,0,0,Winter,2022-2023,0
